stop_id,stop_name,stop_lat,stop_lon
i-o597,Repinec,45.9496598595,16.5052044268
i-o733,Budinšćina,46.1282011691,16.2137231239
i-o983,Žminj,45.1462943313,13.8555215728
i-o493,Staza,45.3286037699,16.6037067355
i-o560,Staro Topolje,45.1828945929,18.2471860213
i-o630,Haganj,45.92671,16.58652
i-o513,Sesvetski Kraljevec,45.8107253531,16.1688806102
i-o980,Pazin,45.2397665338,13.9461517797
i-o682,Đurđenovac,45.5374044048,18.0380619772
i-o954,Kaštel Stari,43.5673880121,16.3448138294
i-o516,Trnava,45.8184452691,16.0494026724
i-o438,Rokovci,45.2412996228,18.7315669272
i-o684,Zdenci-Orahovica,45.5685962207,17.929177415
i-o775,Čakovec,46.3844204914,16.420487545
i-o829,Mahično,45.5530021896,15.5313248522
i-o469,Budrovci,45.2610362748,18.4207361309
i-o625,Paulovac,45.9384422827,16.9743766052
i-o436,Gradište,45.1443976235,18.6999020808
i-o719,Pojatno,45.9094017902,15.8081771095
i-o581,Špišić Bukovica,45.8458456193,17.2987682832
i-o972,Šibenik,43.729996119,15.8979455676
i-o462,Čepin,45.5205539646,18.5778860845
i-o772,Kotoriba,46.3537588492,16.808433699
i-o785,Zdenčina,45.6836991878,15.7500537288
i-o779,Mursko Središće,46.5082887642,16.4464180298
i-o448,Bijelo Brdo,45.5131286077,18.8589956957
i-o401,Orolik,45.2066536967,18.9756144976
i-o1014,Ploče,43.0485917,17.4334095
i-o791,Mavračići,45.6972431268,15.7983332626
i-o935,Kaldrma,43.9726330042,16.2058856394
i-o727,Bedekovčina,46.0415259064,15.9978427366
i-o652,Pivnica,45.7081121632,17.4831938679
i-o698,Zaprešić Savska,45.854990863,15.7947729789
i-o524,Stara Subocka,45.3641343387,16.9114369639
i-o615,Bjelovar,45.8940714232,16.8446658723
i-o850,Fužine,45.3003485956,14.7173638082
i-o700,Zagreb Zapadni Kolodvor,45.8091245968,15.9542125497
i-o757,Vidovec,46.2648623974,16.252038973
i-o664,Lipik,45.4095693642,17.1599743992
i-o852,Drivenik,45.2672074303,14.6913051834
i-o490,Živaja,45.2470328128,16.7276060812
i-o675,Ludbreg,46.2562603471,16.6120212076
i-o403,Sremske Laze,45.2271967501,18.9277928422
i-o478,Našička Breznica,45.5315086976,18.1907468493
i-o851,Lič,45.2815748245,14.7150989258
i-o876,Latin,45.1121616534,15.3623816137
i-o609,Poljanka,45.9747655326,16.5447189466
