service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
i-tr1004_37,20260817,20260823,1,1,1,1,1,0,0
i-tr1004_38,20260824,20260830,1,1,1,1,1,0,0
i-tr1004_39,20260831,20260906,1,1,1,1,1,0,0
i-tr1004_4,20251229,20260104,1,1,1,0,1,0,0
i-tr1004_40,20260907,20260913,1,1,1,1,1,0,0
i-tr1004_41,20260914,20260920,1,1,1,1,1,0,0
i-tr1004_42,20260921,20260927,1,1,1,1,1,0,0
i-tr1004_43,20260928,20261004,1,1,1,1,1,0,0
i-tr1004_44,20261005,20261011,1,1,1,1,1,0,0
i-tr1004_45,20261012,20261018,1,1,1,1,1,0,0
i-tr1004_46,20261019,20261025,1,1,1,1,1,0,0
i-tr1004_47,20261026,20261101,1,1,1,1,1,0,0
i-tr1004_48,20261102,20261108,1,1,1,1,1,0,0
i-tr1004_49,20261109,20261115,1,1,1,1,1,0,0
i-tr1004_5,20260105,20260111,1,0,1,1,1,0,0
i-tr1004_50,20261116,20261122,1,1,0,1,1,0,0
i-tr1004_51,20261123,20261129,1,1,1,1,1,0,0
i-tr1004_52,20261130,20261206,1,1,1,1,1,0,0
i-tr1004_53,20261207,20261213,1,1,1,1,1,0,0
i-tr1004_6,20260112,20260118,1,1,1,1,1,0,0
i-tr1004_7,20260119,20260125,1,1,1,1,1,0,0
i-tr1004_8,20260126,20260201,1,1,1,1,1,0,0
i-tr1004_9,20260202,20260208,1,1,1,1,1,0,0
i-tr1005_10,20260209,20260215,1,1,1,1,1,0,0
i-tr1005_11,20260216,20260222,1,1,1,1,1,0,0
i-tr1005_12,20260223,20260301,1,1,1,1,1,0,0
i-tr1005_13,20260302,20260308,1,1,1,1,1,0,0
i-tr1005_14,20260309,20260315,1,1,1,1,1,0,0
i-tr1005_15,20260316,20260322,1,1,1,1,1,0,0
i-tr1005_16,20260323,20260329,1,1,1,1,1,0,0
i-tr1005_17,20260330,20260405,1,1,1,1,1,0,0
i-tr1005_18,20260406,20260412,0,1,1,1,1,0,0
i-tr1005_19,20260413,20260419,1,1,1,1,1,0,0
i-tr1005_2,20251215,20251221,1,1,1,1,1,0,0
i-tr1005_20,20260420,20260426,1,1,1,1,1,0,0
i-tr1005_21,20260427,20260503,1,1,1,1,0,0,0
i-tr1005_22,20260504,20260510,1,1,1,1,1,0,0
i-tr1005_23,20260511,20260517,1,1,1,1,1,0,0
i-tr1005_24,20260518,20260524,1,1,1,1,1,0,0
i-tr1005_25,20260525,20260531,1,1,1,1,1,0,0
i-tr1005_26,20260601,20260607,1,1,1,0,1,0,0
i-tr1005_27,20260608,20260614,1,1,1,1,1,0,0
i-tr1005_28,20260615,20260621,1,1,1,1,1,0,0
i-tr1005_29,20260622,20260628,0,1,1,1,1,0,0
i-tr1005_3,20251222,20251228,1,1,1,0,0,0,0
i-tr1005_4,20251229,20260104,1,1,1,0,1,0,0
i-tr1005_40,20260907,20260913,1,1,1,1,1,0,0
i-tr1005_41,20260914,20260920,1,1,1,1,1,0,0
i-tr1005_42,20260921,20260927,1,1,1,1,1,0,0
i-tr1005_43,20260928,20261004,1,1,1,1,1,0,0
i-tr1005_44,20261005,20261011,1,1,1,1,1,0,0
i-tr1005_45,20261012,20261018,1,1,1,1,1,0,0
i-tr1005_46,20261019,20261025,1,1,1,1,1,0,0
i-tr1005_47,20261026,20261101,1,1,1,1,1,0,0
i-tr1005_48,20261102,20261108,1,1,1,1,1,0,0
i-tr1005_49,20261109,20261115,1,1,1,1,1,0,0
i-tr1005_5,20260105,20260111,1,0,1,1,1,0,0
i-tr1005_50,20261116,20261122,1,1,0,1,1,0,0
i-tr1005_51,20261123,20261129,1,1,1,1,1,0,0
i-tr1005_52,20261130,20261206,1,1,1,1,1,0,0
i-tr1005_53,20261207,20261213,1,1,1,1,1,0,0
i-tr1005_6,20260112,20260118,1,1,1,1,1,0,0
i-tr1005_7,20260119,20260125,1,1,1,1,1,0,0
i-tr1005_8,20260126,20260201,1,1,1,1,1,0,0
i-tr1005_9,20260202,20260208,1,1,1,1,1,0,0
i-tr1006_1,20251208,20251214,0,0,0,0,0,0,1
i-tr1006_10,20260209,20260215,1,1,1,1,1,1,1
i-tr1006_11,20260216,20260222,1,1,1,1,1,1,1
i-tr1006_12,20260223,20260301,1,1,1,1,1,1,1
i-tr1006_13,20260302,20260308,1,1,1,1,1,1,1
i-tr1006_14,20260309,20260315,1,1,1,1,1,1,1
i-tr1006_15,20260316,20260322,1,1,1,1,1,1,1
i-tr1006_16,20260323,20260329,1,1,1,1,1,1,1
i-tr1006_17,20260330,20260405,1,1,1,1,1,1,1
i-tr1006_18,20260406,20260412,1,1,1,1,1,1,1
i-tr1006_19,20260413,20260419,1,1,1,1,1,1,1
i-tr1006_2,20251215,20251221,1,1,1,1,1,1,1
i-tr1006_20,20260420,20260426,1,1,1,1,1,1,1
i-tr1006_21,20260427,20260503,1,1,1,1,1,1,1
i-tr1006_22,20260504,20260510,1,1,1,1,1,1,1
i-tr1006_23,20260511,20260517,1,1,1,1,1,1,1
i-tr1006_24,20260518,20260524,1,1,1,1,1,1,1
i-tr1006_25,20260525,20260531,1,1,1,1,1,1,1
i-tr1006_26,20260601,20260607,1,1,1,1,1,1,1
i-tr1006_27,20260608,20260614,1,1,1,1,1,1,1
i-tr1006_28,20260615,20260621,1,1,1,1,1,1,1
i-tr1006_29,20260622,20260628,1,1,1,1,1,1,1
i-tr1006_3,20251222,20251228,1,1,1,1,1,1,1
i-tr1006_30,20260629,20260705,1,1,1,1,1,1,1
i-tr1006_31,20260706,20260712,1,1,1,1,1,1,1
i-tr1006_32,20260713,20260719,1,1,1,1,1,1,1
i-tr1006_33,20260720,20260726,1,1,1,1,1,1,1
i-tr1006_34,20260727,20260802,1,1,1,1,1,1,1
i-tr1006_35,20260803,20260809,1,1,1,1,1,1,1
i-tr1006_36,20260810,20260816,1,1,1,1,1,1,1
i-tr1006_37,20260817,20260823,1,1,1,1,1,1,1
i-tr1006_38,20260824,20260830,1,1,1,1,1,1,1
i-tr1006_39,20260831,20260906,1,1,1,1,1,1,1
i-tr1006_4,20251229,20260104,1,1,1,1,1,1,1
i-tr1006_40,20260907,20260913,1,1,1,1,1,1,1
i-tr1006_41,20260914,20260920,1,1,1,1,1,1,1
i-tr1006_42,20260921,20260927,1,1,1,1,1,1,1
i-tr1006_43,20260928,20261004,1,1,1,1,1,1,1
i-tr1006_44,20261005,20261011,1,1,1,1,1,1,1
i-tr1006_45,20261012,20261018,1,1,1,1,1,1,1
i-tr1006_46,20261019,20261025,1,1,1,1,1,1,1
i-tr1006_47,20261026,20261101,1,1,1,1,1,1,1
i-tr1006_48,20261102,20261108,1,1,1,1,1,1,1
i-tr1006_49,20261109,20261115,1,1,1,1,1,1,1
i-tr1006_5,20260105,20260111,1,1,1,1,1,1,1
i-tr1006_50,20261116,20261122,1,1,1,1,1,1,1
i-tr1006_51,20261123,20261129,1,1,1,1,1,1,1
i-tr1006_52,20261130,20261206,1,1,1,1,1,1,1
i-tr1006_53,20261207,20261213,1,1,1,1,1,1,0
i-tr1006_6,20260112,20260118,1,1,1,1,1,1,1
i-tr1006_7,20260119,20260125,1,1,1,1,1,1,1
i-tr1006_8,20260126,20260201,1,1,1,1,1,1,1
